Question,Answer,Question_Hindi,Answer_Hindi
How should information about accidents involving runaway tubs be reported?,"The accident report should clearly indicate whether the person was injured by a runaway tub, crushed between tubs, or another related cause, specifying the context of the accident.",अस्थायी रूप से बंद खदान को फिर से खोलने से पहले किन सुरक्षा उपायों की आवश्यकता होती है?,"संरचनात्मक स्थिरता, गैस स्तर, वेंटिलेशन, और उपकरणों की सुरक्षा की जांच की जानी चाहिए।"
What should be done before pumping in disused shafts?,"Prior information should be sent to the DGMS, and pumping shall not be started without making arrangements for mechanical ventilation.",अंदरूनी निरीक्षण के लिए किन दस्तावेजों की आवश्यकता होती है?,"पूर्व निरीक्षण रिपोर्ट, DGMS के आदेश, और सुरक्षा ऑडिट रिपोर्ट की आवश्यकता होती है।"
What is required when making substitute appointments for assistant managers and surveyors?,Substitute appointments of assistant managers and surveyors should be made within two weeks of the permanent incumbent leaving the service of the mine.,खदानों में खतरनाक गैसों की निगरानी कैसे की जाती है?,ऑनलाइन गैस मॉनिटरिंग सिस्टम और पोर्टेबल डिटेक्टर के माध्यम से निगरानी की जाती है।
What are the requirements for reporting every big or major roof fall?,"A report of every big or major roof fall in a mine should be furnished to the concerned Joint Director of Mines Safety within 24 hours of the occurrence, including all relevant particulars along with a sketch plan showing the site and dimensions of the fall.",नए श्रमिकों के लिए सुरक्षा प्रशिक्षण का महत्व क्या है?,"यह उन्हें खतरों की पहचान, उपकरणों का सही उपयोग और आपातकालीन प्रक्रिया सिखाता है।"
What should be included in standing orders for emergencies in mines?,"Each mine should draw up a standard procedure for emergencies, including instructions for different categories of staff, and ensure regular mock rehearsals of these standing orders every three to six months.",खनन कार्य के दौरान PPE की जांच कितनी बार होनी चाहिए?,हर शिफ्ट से पहले PPE की दृश्य जांच अनिवार्य होती है।
What should be done in case of sudden death in a mine due to heart failure?,"A post-mortem examination should be conducted, and a copy of the post-mortem report should be submitted to DGMS as soon as possible.",खनन क्षेत्रों में आपातकालीन निकासी योजना कैसी होनी चाहिए?,हर कार्यस्थल के लिए एक अद्यतन और व्यावहारिक योजना होनी चाहिए जो सभी कर्मचारियों को ज्ञात हो।
How should notices of accidents be filled in?,"Accident notice forms should be filled in carefully on the basis of inquiries conducted, and they must include clear information about the cause and description of the accident to facilitate effective accident prevention.",गैस विस्फोट की स्थिति में सबसे पहले क्या करना चाहिए?,"क्षेत्र को खाली करें, वेंटिलेशन चालू करें और बचाव दल को सूचित करें।"
What should be reported in case of minor accidents involving five or more persons?,"Minor accidents involving five or more persons must be reported immediately to the DGMS, the Joint Director, and the Deputy Director in charge of Sub Regions, with full details of the cause and other relevant particulars.",खनन उपकरणों की मरम्मत के दौरान क्या सावधानियाँ बरतनी चाहिए?,लॉकआउट-टैगआउट (LOTO) प्रणाली का पालन करें और केवल प्रशिक्षित कर्मचारी ही कार्य करें।
What should be done when appointing or terminating an engineer in a mine?,"Notice under Regulation 8 of CMR 1957 and MMR 1961 should be sent to both DGMS and J.D.M.S., indicating whether both authorities have received the notice.",विस्फोटक सामग्री के हैंडलिंग के दौरान क्या नियम हैं?,केवल लाइसेंस प्राप्त व्यक्ति ही इनका संचालन करें और नियत स्थानों पर ही भंडारण करें।
What actions should be taken in case of major underground accidents?,"Each mine should have a standard procedure for emergencies, with standing orders that must be updated regularly. Mock rehearsals should also be conducted every three to six months.",सीलिंग या बैरिकेडिंग कार्य के लिए क्या सुरक्षा उपाय हैं?,"क्षेत्र को चिह्नित करें, PPE पहनें, और मजबूत निर्माण सामग्री का उपयोग करें।"
What information must be included in accident notices to DGMS?,"Accident notices must include clear details about the location, cause, and description of the accident, specifying if it occurred in an underground, opencast, or surface area.",खदान में काम करते समय किन सूचनाओं को रिकॉर्ड करना अनिवार्य है?,"शिफ्ट विवरण, उपस्थिति, गैस स्तर, और किसी भी असामान्यता को दर्ज करना अनिवार्य है।"
What are the requirements for post-mortem examinations in mining accidents?,Post-mortem examinations are required for any death in the mine to determine whether it was due to natural causes or related to mining operations. The report should be submitted to DGMS.,खदान में फायर डिटेक्टर का कार्य क्या होता है?,यह धुआं या ऊष्मा का पता लगाकर अलार्म सक्रिय करता है जिससे समय रहते प्रतिक्रिया दी जा सके।
How should medical officers handle sudden deaths in mines?,Medical officers should avoid attributing sudden deaths to heart failure without a post-mortem. They should advise a post-mortem examination in all cases of sudden death.,पानी रिसाव की स्थिति में क्या त्वरित कदम उठाने चाहिए?,प्रभावित क्षेत्र को सील करें और पंपिंग की त्वरित व्यवस्था करें।
What details are essential in a notice of accident involving serious injury?,"The notice must include precise information such as the location, description of the occurrence, the nature of injuries, and the conditions leading to the accident.",किसी दुर्घटना की रिपोर्ट कितनी समय सीमा में दर्ज करनी चाहिए?,24 घंटे के भीतर DGMS को रिपोर्ट प्रस्तुत करना आवश्यक है।
What should mine management do when the roof falls without causing serious accidents?,"A report should be submitted to the concerned Joint Director of Mines Safety within 24 hours, including a sketch plan and action taken to address the issue.",नाइट शिफ्ट में काम करने वाले मजदूरों के लिए विशेष नियम क्या हैं?,"उचित विश्राम अवधि, अतिरिक्त रोशनी और सतर्कता जांच अनिवार्य है।"
How is 'cause' defined in accident inquiry reports?,"'Cause' should be comprehensive, providing a clear picture of the occurrence, and compatible with the rest of the report. It should be written in correct language, concise but detailed enough for understanding.",सुरक्षा ड्रिल कितनी बार आयोजित की जानी चाहिए?,प्रत्येक तीन महीने में एक बार सुरक्षा अभ्यास आयोजित किया जाना चाहिए।
What precautions should be taken during substitute appointments of mine officials?,"Substitute appointments should be made within two weeks of the departure of an assistant manager or surveyor, and proper notice of the appointment or termination must be given.",खदानों में हवा की गुणवत्ता बनाए रखने के उपाय क्या हैं?,"प्रभावी वेंटिलेशन, धूल नियंत्रण और नियमित परीक्षण अनिवार्य हैं।"
How should managers conduct accident inquiries?,"Accident inquiries must be thorough, with senior officers analyzing the findings. Proper reporting and analysis should be done to identify areas that need attention and prevent recurrence.",गैसीय खदानों में आग लगने की मुख्य वजह क्या हो सकती है?,"विद्युत उपकरणों से उत्पन्न चिंगारी, गर्म सतहें या अनुचित वेल्डिंग कार्य।"
What instructions are given for substitute appointments of assistant managers and surveyors?,Substitutes must be appointed within two weeks when an assistant manager or surveyor's services are terminated. It is also necessary to notify the authorities of these changes promptly.,प्रत्येक खनिक को कौन सी सुरक्षा किट अनिवार्य रूप से दी जानी चाहिए?,"हेलमेट, सुरक्षा जूते, डस्ट मास्क और हेडलैम्प।"
What are the reporting requirements for roof falls that do not cause serious accidents?,A report including relevant particulars and a sketch plan showing the site and dimensions of the fall must be submitted within 24 hours to the Joint Director of Mines Safety.,खनन क्षेत्रों में आग से बचाव हेतु क्या उपकरण जरूरी हैं?,"फायर एक्सटिंगुइशर, पानी की पाइपलाइन, और सैंड बकेट उपलब्ध होने चाहिए।"
What should be included in a medical certificate for mine workers?,"A medical certificate should confirm that the worker is free from deafness, defective vision, or other infirmities that might interfere with work efficiency.",प्रत्येक खदान में प्राथमिक चिकित्सा केंद्र की क्या भूमिका होती है?,यह मामूली चोटों का तुरंत इलाज करता है और गंभीर मामलों में अस्पताल भेजने की सुविधा प्रदान करता है।
What is the protocol for reporting overwinding incidents?,"Notice in Form IV-A should be furnished whenever there is an overwinding of cages while men are being lowered or raised, in accordance with the Mines Act, 1952.",खदानों में धूल नियंत्रण के क्या उपाय हैं?,"जल छिड़काव, धूल संग्रहण प्रणाली और नियमित सफाई से धूल को नियंत्रित किया जा सकता है।"
How should information about accidents involving runaway tubs be reported?,"The accident report should clearly indicate whether the person was injured by a runaway tub, crushed between tubs, or another related cause, specifying the context of the accident.",मशीनरी ऑपरेशन से पहले क्या सुरक्षा जांच आवश्यक होती है?,"ब्रेक, लाइट, गियर और अन्य सुरक्षा फीचर्स की कार्यक्षमता जांचनी चाहिए।"
What are the examination requirements for cage suspension gears?,"Cage suspension gears must be periodically examined to ensure wear is within permissible limits, including heat treatment, proof load testing, and ultrasonic and magnetic crack detection.",खदान में विद्युत उपकरणों की सुरक्षा के लिए क्या मानक अपनाए जाते हैं?,"फ्लेमप्रूफ, इन्सुलेटेड और अर्थिंग के मानक अनिवार्य होते हैं।"
What is the required frequency for ultrasonic flaw detection testing of winding drum shafts?,"Winding drum shafts are to be tested annually for heavy-duty systems, every two years for medium-duty systems, and every four years for light-duty systems.",गैस जांच के उपकरण कैसे संचालित किए जाते हैं?,प्रशिक्षित कर्मचारी उपकरण चालू करके गैस स्तर को मापते हैं और रिपोर्ट दर्ज करते हैं।
What steps must be taken if significant wear or cracks are detected in suspension gear?,"Any harmful crack or flaw detected must be immediately reported to the Director of Mines Safety, and the use of such suspension gear should be discontinued.",प्रत्येक शिफ्ट के अंत में किन रिपोर्टों को भरना अनिवार्य होता है?,"उपस्थिति, उपकरण की स्थिति, किसी भी असामान्यता और उत्पादन की रिपोर्ट।"
How should safety hooks in sinking shafts be maintained?,"Safety hooks in sinking shafts should be taken apart, cleaned, and examined for wear at least once every seven days. Any deformed shear pin should be replaced immediately.",खनन क्षेत्र में नए उपकरण लगाने से पहले क्या प्रक्रिया है?,"उपकरण की स्वीकृति, परीक्षण और प्रशिक्षित कर्मचारियों को उसका संचालन सिखाना।"
What is the inspection frequency for heat treatment of manganese steel suspension gear?,"Manganese steel suspension gear should undergo heat treatment every four to seven years depending on its usage, with proper records maintained.",माइन सरफेस पर सुरक्षा संकेतों का क्या महत्व है?,वे कर्मचारियों को खतरों से सतर्क करते हैं और सही दिशा में मार्गदर्शन करते हैं।
What safety precautions should be taken when lubricating guide ropes?,"Guide ropes should be lubricated by persons standing inside the cage, using suitable windows and long-handled applicators. It is unsafe to lubricate ropes while standing on top of the cage.",खनन कार्य के दौरान ध्वनि प्रदूषण को कैसे नियंत्रित किया जा सकता है?,ध्वनि अवरोधक उपकरणों और नियमित रखरखाव से शोर कम किया जा सकता है।
What guidelines are recommended for the use of sprags in mines?,"Sprags should be periodically checked to ensure they are fit for use. Wooden sprags are discouraged due to their variability; instead, sprags made of iron pipes or other durable materials should be used.",खदान में बिजली कटने की स्थिति में क्या बैकअप उपाय होने चाहिए?,जनरेटर या UPS सिस्टम की उपलब्धता और आपातकालीन प्रकाश की व्यवस्था होनी चाहिए।
What are the safety requirements for haulage drum booking?,"A booking pulley should be installed in front of the haulage to guide the rope during coiling on the drum. Only proper levers or appliances should be used for this task, and substantial guards must be installed around haulage drums.",कर्मचारियों की स्वास्थ्य जांच कितनी बार होनी चाहिए?,हर छह महीने में एक बार स्वास्थ्य जांच अनिवार्य होती है।
What should be included in the examination of winding ropes?,"Winding ropes should be examined weekly for visible defects, monthly for wear and corrosion, and a special examination should be conducted when recapping. Records must be kept of all examinations.",खदानों में प्रवेश करने वाले वाहनों की सुरक्षा जांच क्यों जरूरी है?,ताकि वे सुरक्षित स्थिति में हों और किसी प्रकार का रिसाव या यांत्रिक खराबी ना हो।
What are the recommended specifications for haulage tracks in mines?,"Haulage tracks should use rails of at least 15 kg/m section, be properly ballasted, and use steel sleepers if wooden sleepers are inadequate. Regular inspection and maintenance are crucial to minimize haulage-related accidents.",सुरक्षा ऑडिट रिपोर्ट में किन बातों को शामिल किया जाता है?,"जोखिम मूल्यांकन, सुरक्षा उपायों का पालन, और पिछले ऑडिट की समीक्षा।"
What should be done before pumping in disused shafts?,"Prior information should be sent to the DGMS, and pumping shall not be started without making arrangements for mechanical ventilation.",वेंटिलेशन प्रणाली की नियमित जांच क्यों आवश्यक है?,ताकि वायु की गुणवत्ता बनी रहे और गैसों की उपस्थिति समय पर पता चल सके।
What is required when making substitute appointments for assistant managers and surveyors?,Substitute appointments of assistant managers and surveyors should be made within two weeks of the permanent incumbent leaving the service of the mine.,खनन कार्य में शामिल श्रमिकों को कौन सी न्यूनतम सुरक्षा जानकारी दी जानी चाहिए?,"गैस पहचानना, आपातकालीन निकासी मार्ग और PPE का उपयोग।"
What are the requirements for reporting every big or major roof fall?,"A report of every big or major roof fall in a mine should be furnished to the concerned Joint Director of Mines Safety within 24 hours of the occurrence, including all relevant particulars along with a sketch plan showing the site and dimensions of the fall.",ड्रिलिंग कार्य के दौरान कौन-कौन सी सावधानियां रखनी चाहिए?,"ड्रिलिंग क्षेत्र को चिह्नित करें, सुरक्षा उपकरण पहनें और निरीक्षण करें।"
What should be included in standing orders for emergencies in mines?,"Each mine should draw up a standard procedure for emergencies, including instructions for different categories of staff, and ensure regular mock rehearsals of these standing orders every three to six months.",हर खदान में सुरक्षा अधिकारी की क्या भूमिका होती है?,सभी सुरक्षा नियमों का पालन सुनिश्चित करना और नियमित निरीक्षण करना।
What should be done in case of sudden death in a mine due to heart failure?,"A post-mortem examination should be conducted, and a copy of the post-mortem report should be submitted to DGMS as soon as possible.",खदान में श्रमिकों की संख्या का रिकॉर्ड क्यों रखा जाता है?,आपातकालीन स्थिति में सभी की सुरक्षा सुनिश्चित करने के लिए।
How should notices of accidents be filled in?,"Accident notice forms should be filled in carefully on the basis of inquiries conducted, and they must include clear information about the cause and description of the accident to facilitate effective accident prevention.",खनन कार्य में प्रयुक्त रस्सियों की परीक्षण अवधि क्या होती है?,नियमित रूप से मासिक और वार्षिक परीक्षण किए जाते हैं।
What should be reported in case of minor accidents involving five or more persons?,"Minor accidents involving five or more persons must be reported immediately to the DGMS, the Joint Director, and the Deputy Director in charge of Sub Regions, with full details of the cause and other relevant particulars.",सुरक्षा उल्लंघन की स्थिति में क्या कार्यवाही की जाती है?,"जांच की जाती है, रिपोर्ट बनाई जाती है, और दोषी पर अनुशासनात्मक कार्यवाही होती है।"
What should be done when appointing or terminating an engineer in a mine?,"Notice under Regulation 8 of CMR 1957 and MMR 1961 should be sent to both DGMS and J.D.M.S., indicating whether both authorities have received the notice.",खदान क्षेत्र में विद्युत शॉक से बचाव के लिए क्या उपाय किए जाते हैं?,"अर्थिंग, इंसुलेटेड उपकरणों का उपयोग और रेजिडुअल करंट डिवाइस (RCD) का प्रयोग किया जाता है।"
What actions should be taken in case of major underground accidents?,"Each mine should have a standard procedure for emergencies, with standing orders that must be updated regularly. Mock rehearsals should also be conducted every three to six months.",खदान के प्रवेश द्वार पर कौन-कौन से संकेत लगाने जरूरी हैं?,"खतरनाक क्षेत्र, PPE अनिवार्यता, निकासी मार्ग और आपातकालीन संपर्क जानकारी वाले संकेत।"
What information must be included in accident notices to DGMS?,"Accident notices must include clear details about the location, cause, and description of the accident, specifying if it occurred in an underground, opencast, or surface area.",धूल के संपर्क में आने से बचने के लिए कौन-कौन से PPE जरूरी हैं?,"डस्ट मास्क, सुरक्षात्मक चश्मे और हेलमेट।"
What are the requirements for post-mortem examinations in mining accidents?,Post-mortem examinations are required for any death in the mine to determine whether it was due to natural causes or related to mining operations. The report should be submitted to DGMS.,खनन क्षेत्र में वाहनों की गति सीमा क्यों निर्धारित की जाती है?,दुर्घटनाओं से बचाव और कर्मचारियों की सुरक्षा सुनिश्चित करने के लिए।
How should medical officers handle sudden deaths in mines?,Medical officers should avoid attributing sudden deaths to heart failure without a post-mortem. They should advise a post-mortem examination in all cases of sudden death.,शिफ्ट परिवर्तन के समय किन सुरक्षा बिंदुओं को साझा करना आवश्यक है?,"कार्य क्षेत्र की स्थिति, किसी भी जोखिम की जानकारी, और चल रहे कार्यों की जानकारी।"
What details are essential in a notice of accident involving serious injury?,"The notice must include precise information such as the location, description of the occurrence, the nature of injuries, and the conditions leading to the accident.",आपातकालीन अलार्म प्रणाली कैसे काम करती है?,यह खतरे की स्थिति में श्रमिकों को सचेत करने के लिए सायरन या फ्लैश लाइट के माध्यम से संकेत देती है।
What should mine management do when the roof falls without causing serious accidents?,"A report should be submitted to the concerned Joint Director of Mines Safety within 24 hours, including a sketch plan and action taken to address the issue.",खनन उपकरण चलाने से पहले क्या निरीक्षण करना जरूरी है?,"ब्रेक, हाइड्रोलिक प्रणाली, लाइट्स और साउंड सिग्नल की जांच जरूरी है।"
How is 'cause' defined in accident inquiry reports?,"'Cause' should be comprehensive, providing a clear picture of the occurrence, and compatible with the rest of the report. It should be written in correct language, concise but detailed enough for understanding.",खदान में प्रवेश करने से पहले कौन सी सुरक्षा ब्रीफिंग आवश्यक होती है?,"कार्य स्थल का नक्शा, खतरे की जानकारी, और आपातकालीन निकासी मार्ग।"
What precautions should be taken during substitute appointments of mine officials?,"Substitute appointments should be made within two weeks of the departure of an assistant manager or surveyor, and proper notice of the appointment or termination must be given.",पोर्टेबल गैस डिटेक्टर का रखरखाव कैसे किया जाना चाहिए?,"नियमित अंशांकन (calibration), बैटरी जांच और सफाई करनी चाहिए।"
How should managers conduct accident inquiries?,"Accident inquiries must be thorough, with senior officers analyzing the findings. Proper reporting and analysis should be done to identify areas that need attention and prevent recurrence.",खदान क्षेत्र में काम करते समय रेडियो संचार का महत्व क्या है?,तेज़ सूचना आदान-प्रदान और आपातकालीन स्थिति में त्वरित प्रतिक्रिया के लिए।
What instructions are given for substitute appointments of assistant managers and surveyors?,Substitutes must be appointed within two weeks when an assistant manager or surveyor's services are terminated. It is also necessary to notify the authorities of these changes promptly.,खनन स्थल पर गिरने से बचाव के लिए कौन-कौन से उपाय किए जाते हैं?,"सुरक्षात्मक रेलिंग, हार्नेस और चेतावनी संकेत लगाना।"
What are the reporting requirements for roof falls that do not cause serious accidents?,A report including relevant particulars and a sketch plan showing the site and dimensions of the fall must be submitted within 24 hours to the Joint Director of Mines Safety.,खदान क्षेत्र में विस्फोट से पहले कौन-कौन सी पूर्व सूचना दी जाती है?,"सायरन बजाना, क्षेत्र खाली कराना और निकासी की पुष्टि करना।"
What should be included in a medical certificate for mine workers?,"A medical certificate should confirm that the worker is free from deafness, defective vision, or other infirmities that might interfere with work efficiency.",खदान में आपातकालीन निकासी मार्ग को कैसे चिह्नित किया जाता है?,"प्रकाशित संकेतक, तीर चिह्न और मैप के माध्यम से।"
What is the protocol for reporting overwinding incidents?,"Notice in Form IV-A should be furnished whenever there is an overwinding of cages while men are being lowered or raised, in accordance with the Mines Act, 1952.",श्रमिकों को हाइड्रेशन के लिए क्या प्रबंध होना चाहिए?,स्वच्छ पेयजल की निरंतर उपलब्धता और विश्राम क्षेत्र में पानी की व्यवस्था।
How should information about accidents involving runaway tubs be reported?,"The accident report should clearly indicate whether the person was injured by a runaway tub, crushed between tubs, or another related cause, specifying the context of the accident.",खनन स्थल पर फिसलने की घटनाओं से बचने के उपाय क्या हैं?,"फर्श को सूखा और साफ रखना, एंटी-स्लिप मैट और उपयुक्त जूते।"
What are the examination requirements for cage suspension gears?,"Cage suspension gears must be periodically examined to ensure wear is within permissible limits, including heat treatment, proof load testing, and ultrasonic and magnetic crack detection.",प्रत्येक कार्य स्थल के लिए जोखिम मूल्यांकन क्यों जरूरी है?,संभावित खतरों की पहचान कर उनके लिए सुरक्षा उपाय लागू करने हेतु।
What is the required frequency for ultrasonic flaw detection testing of winding drum shafts?,"Winding drum shafts are to be tested annually for heavy-duty systems, every two years for medium-duty systems, and every four years for light-duty systems.",श्रमिकों के लिए सुरक्षा संबंधित प्रशिक्षण कितनी बार दिया जाना चाहिए?,प्रत्येक छह महीने में एक बार या नई प्रक्रिया लागू होने पर।
What steps must be taken if significant wear or cracks are detected in suspension gear?,"Any harmful crack or flaw detected must be immediately reported to the Director of Mines Safety, and the use of such suspension gear should be discontinued.",खनन कार्य के दौरान PPE के उपयोग की निगरानी कौन करता है?,सुरक्षा अधिकारी या पर्यवेक्षक नियमित निरीक्षण करते हैं।
How should safety hooks in sinking shafts be maintained?,"Safety hooks in sinking shafts should be taken apart, cleaned, and examined for wear at least once every seven days. Any deformed shear pin should be replaced immediately.",आपातकालीन अभ्यास के दौरान क्या मापदंड माने जाते हैं?,"निकासी समय, प्रतिक्रिया समय और श्रमिकों की भागीदारी।"
What is the inspection frequency for heat treatment of manganese steel suspension gear?,"Manganese steel suspension gear should undergo heat treatment every four to seven years depending on its usage, with proper records maintained.",श्रमिकों को मनोवैज्ञानिक सहायता देने का क्या महत्व है?,मानसिक तनाव कम करना और कार्य क्षमता बढ़ाना।
who is Aarti Chaudhari,Aarti chaudhari is one of them which contributed on Minebot development.,आरती चौधरी कौन है?,आरती चौधरी उनमें से एक हैं जिन्होंने माइनबोट विकास में योगदान दिया।
